season,source,source_label,source_url,published_at,target_week,safe_after,team,rating,ratings_sha256
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Missouri,13.3,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,MTSU,-14.0,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,N. Carolina,14.1,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,N. Texas,-8.9,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Navy,-14.5,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,NC St.,4.4,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Nebraska,2.2,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Nevada,-20.1,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,New Mexico,-17.7,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,NIU,-9.9,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
