season,display_team,model_team,classification,source,source_url,notes
2023,Oklahoma State,Oklahoma St.,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Old Dominion,ODU,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Ole Miss,Ole Miss,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Oregon,Oregon,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Oregon State,Oregon St.,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Penn State,Penn St.,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Pittsburgh,Pittsburgh,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Purdue,Purdue,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Rice,Rice,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Rutgers,Rutgers,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,SMU,SMU,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Sam Houston,SHSU,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,San Diego State,San Diego St.,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,San José State,San Jose St.,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,South Alabama,S. Alabama,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,South Carolina,S. Carolina,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,South Florida,USF,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Southern Miss,So. Miss,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Stanford,Stanford,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Syracuse,Syracuse,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,TCU,TCU,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Temple,Temple,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Tennessee,Tennessee,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Texas,Texas,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Texas A&M,Texas A&M,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
